take,bite_id,event,motive_frame,natnet_timestamp_s,annotated_at
trial_0017,1,transfer_start,852,1315.018000000,2026-08-31T11:51:50+01:00
trial_0017,1,transfer_end,1070,1317.198000000,2026-08-31T11:51:55+01:00
trial_0017,1,withdrawal_start,1197,1318.468000000,2026-08-31T11:52:01+01:00
trial_0017,1,withdrawal_end,1325,1319.748000000,2026-08-31T11:52:04+01:00
trial_0017,2,transfer_start,2587,1332.367000000,2026-08-31T11:52:42+01:00
trial_0017,2,transfer_end,2753,1334.027000000,2026-08-31T11:53:00+01:00
trial_0017,2,withdrawal_start,2861,1335.107000000,2026-08-31T11:53:10+01:00
trial_0017,2,withdrawal_end,2950,1335.997000000,2026-08-31T11:53:13+01:00
trial_0017,3,transfer_start,4851,1355.006000000,2026-08-31T11:54:08+01:00
trial_0017,3,transfer_end,5033,1356.826000000,2026-08-31T11:54:29+01:00
trial_0017,3,withdrawal_start,5095,1357.446000000,2026-08-31T11:54:33+01:00
trial_0017,3,withdrawal_end,5194,1358.436000000,2026-08-31T11:54:35+01:00
trial_0017,4,transfer_start,7937,1385.864000000,2026-08-31T11:54:54+01:00
trial_0017,4,transfer_end,8152,1388.014000000,2026-08-31T11:54:58+01:00
trial_0017,4,withdrawal_start,8225,1388.744000000,2026-08-31T11:56:09+01:00
trial_0017,4,withdrawal_end,8327,1389.763000000,2026-08-31T11:56:57+01:00
trial_0017,5,transfer_start,10116,1407.652000000,2026-08-31T11:57:23+01:00
trial_0017,5,transfer_end,10305,1409.542000000,2026-08-31T11:57:26+01:00
trial_0017,5,withdrawal_start,10395,1410.442000000,2026-08-31T11:57:31+01:00
trial_0017,5,withdrawal_end,10538,1411.872000000,2026-08-31T11:57:34+01:00
trial_0017,6,transfer_start,11921,1425.701000000,2026-08-31T11:58:21+01:00
trial_0017,6,transfer_end,12105,1427.541000000,2026-08-31T11:58:31+01:00
trial_0017,6,withdrawal_start,12161,1428.101000000,2026-08-31T11:58:37+01:00
trial_0017,6,withdrawal_end,12279,1429.281000000,2026-08-31T11:58:47+01:00
trial_0017,7,transfer_start,14911,1455.599000000,2026-08-31T11:59:20+01:00
trial_0017,7,transfer_end,15119,1457.679000000,2026-08-31T11:59:30+01:00
trial_0017,7,withdrawal_start,15202,1458.509000000,2026-08-31T11:59:36+01:00
trial_0017,7,withdrawal_end,15298,1459.469000000,2026-08-31T11:59:39+01:00
trial_0017,8,transfer_start,17286,1479.348000000,2026-08-31T11:59:54+01:00
trial_0017,8,transfer_end,17479,1481.277000000,2026-08-31T12:00:14+01:00
trial_0017,8,withdrawal_start,17543,1481.917000000,2026-08-31T12:00:27+01:00
trial_0017,8,withdrawal_end,17648,1482.967000000,2026-08-31T12:00:41+01:00
trial_0017,9,transfer_start,19892,1505.406000000,2026-08-31T12:00:59+01:00
trial_0017,9,transfer_end,20124,1507.726000000,2026-08-31T12:01:09+01:00
trial_0017,9,withdrawal_start,20228,1508.766000000,2026-08-31T12:01:15+01:00
trial_0017,9,withdrawal_end,20335,1509.836000000,2026-08-31T12:01:17+01:00
trial_0017,10,transfer_start,23060,1537.084000000,2026-08-31T12:01:45+01:00
trial_0017,10,transfer_end,23242,1538.904000000,2026-08-31T12:01:49+01:00
trial_0017,10,withdrawal_start,23311,1539.594000000,2026-08-31T12:01:58+01:00
trial_0017,10,withdrawal_end,23416,1540.643000000,2026-08-31T12:02:01+01:00
trial_0017,11,transfer_start,25576,1562.242000000,2026-08-31T12:03:21+01:00
trial_0017,11,transfer_end,25762,1564.102000000,2026-08-31T12:03:24+01:00
trial_0017,11,withdrawal_start,25825,1564.732000000,2026-08-31T12:03:29+01:00
trial_0017,11,withdrawal_end,25932,1565.802000000,2026-08-31T12:03:31+01:00
trial_0017,12,transfer_start,27256,1579.041000000,2026-08-31T12:03:44+01:00
trial_0017,12,transfer_end,27431,1580.791000000,2026-08-31T12:03:47+01:00
trial_0017,12,withdrawal_start,27496,1581.441000000,2026-08-31T12:03:57+01:00
trial_0017,12,withdrawal_end,27597,1582.451000000,2026-08-31T12:03:59+01:00
trial_0017,13,transfer_start,29016,1596.640000000,2026-08-31T12:04:16+01:00
trial_0017,13,transfer_end,29308,1599.560000000,2026-08-31T12:04:20+01:00
trial_0017,13,withdrawal_start,29376,1600.240000000,2026-08-31T12:04:28+01:00
trial_0017,13,withdrawal_end,29475,1601.229000000,2026-08-31T12:04:30+01:00
trial_0017,14,transfer_start,31974,1626.218000000,2026-08-31T12:05:20+01:00
trial_0017,14,transfer_end,32205,1628.528000000,2026-08-31T12:05:25+01:00
trial_0017,14,withdrawal_start,32268,1629.158000000,2026-08-31T12:05:35+01:00
trial_0017,14,withdrawal_end,32416,1630.637000000,2026-08-31T12:05:38+01:00
trial_0017,15,transfer_start,33904,1645.516000000,2026-08-31T12:06:13+01:00
trial_0017,15,transfer_end,34235,1648.826000000,2026-08-31T12:06:45+01:00
trial_0017,15,withdrawal_start,34260,1649.076000000,2026-08-31T12:06:53+01:00
trial_0017,15,withdrawal_end,34347,1649.946000000,2026-08-31T12:09:09+01:00
